Topik,Ranking,Keyword,Bobot
Topik 1,1,logistik,6.3918629419766555
Topik 1,2,milu,5.5908333684206895
Topik 1,3,pilkada,5.124881325278196
Topik 1,4,tahap,5.124098609447742
Topik 1,5,tahun,4.259893554226058
Topik 1,6,laksana,4.124785053960527
Topik 1,7,sawar,3.124483696201498
Topik 1,8,evaluasi,3.085478249118128
Topik 1,9,monitoring,2.332488614258788
Topik 1,10,psu,2.263054942551497
Topik 1,11,ada,2.1251219242398416
Topik 1,12,kesiap,2.124452373775727
Topik 1,13,awas,1.4080955198788918
Topik 1,14,kelola,0.12597411348409285
Topik 1,15,bawang,0.12525602112484305
Topik 1,16,tulang,0.12525602112484305
Topik 1,17,distribusi,0.12515345319732463
Topik 1,18,akhir,0.1251330029335387
Topik 1,19,kabupaten,0.1250825943369848
Topik 1,20,lapor,0.12505852704531897
Topik 1,21,pilih,0.12504313848698462
Topik 1,22,tps,0.12504244541316253
Topik 1,23,mungut,0.12503657659358894
Topik 1,24,ulang,0.12503076715903083
Topik 1,25,suara,0.12502785822692467
Topik 2,1,logistik,17.970953650293698
Topik 2,2,awas,17.210743610484702
Topik 2,3,milu,15.899097324691503
Topik 2,4,distribusi,14.124254049024884
Topik 2,5,pilih,10.523552886373526
Topik 2,6,tahun,5.911035938780399
Topik 2,7,ada,5.124883528004164
Topik 2,8,wilayah,4.124988335756232
Topik 2,9,tengah,3.933866013622763
Topik 2,10,kalimantan,3.7494439759088465
Topik 2,11,proses,3.1230006673453254
Topik 2,12,tepat,2.1249998700984136
Topik 2,13,bawang,2.124565210734438
Topik 2,14,tulang,2.1245652107344375
Topik 2,15,timur,2.1242217220454225
Topik 2,16,rusak,2.1239881030894
Topik 2,17,penuh,2.123436821575777
Topik 2,18,kabupaten,1.347010053630815
Topik 2,19,barat,1.2922615058121272
Topik 2,20,jumlah,1.1249030798683894
Topik 2,21,selatan,0.12528269991111748
Topik 2,22,jawa,0.12514752754338498
Topik 2,23,kait,0.12514752754338498
Topik 2,24,kelola,0.12514636590853975
Topik 2,25,utara,0.12513129316321445
Topik 3,1,banyak,9.124998553194901
Topik 3,2,kurang,7.124598541118767
Topik 3,3,surat,5.1252710064496325
Topik 3,4,lebih,5.12499992219451
Topik 3,5,suara,5.124729441884269
Topik 3,6,lembar,4.12499672517551
Topik 3,7,walikota,4.124996699155795
Topik 3,8,buah,3.124999881813458
Topik 3,9,logistik,2.4711299406390994
Topik 3,10,tahap,2.426536467712578
Topik 3,11,gubernur,2.1249999564688205
Topik 3,12,epak,2.124999951703868
Topik 3,13,lipat,2.124992826502571
Topik 3,14,milu,1.2214704985526113
Topik 3,15,hasil,1.1249150570850128
Topik 3,16,proses,0.12699895730292288
Topik 3,17,rusak,0.12514902050167923
Topik 3,18,distribusi,0.1250307346790498
Topik 3,19,temu,0.125027036086258
Topik 3,20,awas,0.12501466322273244
Topik 3,21,text,0.1250001748683231
Topik 3,22,timur,0.1250000940802986
Topik 3,23,tahun,0.1250000850653038
Topik 3,24,kelola,0.1250000775187062
Topik 3,25,kabupaten,0.1250000758866169
Topik 4,1,lengkap,10.124883776478004
Topik 4,2,suara,9.0139754265129
Topik 4,3,mungut,5.327969000372628
Topik 4,4,tps,5.125024576454522
Topik 4,5,awas,2.2733700424323318
