Document_ID,Provinsi,Kategori_Isu,Text,clean,Token,Normalisasi,stopwords,stemmer,Berita
D001,Aceh,Kekurangan Surat Suara,Kekurangan surat suara gubernur sebanyak 622 lembar pada tahap pelipatan logistik pemilu.,kekurangan surat suara gubernur sebanyak lembar pada tahap pelipatan logistik pemilu,kekurangan surat suara gubernur sebanyak lembar pada tahap pelipatan logistik pemilu,kekurangan surat suara gubernur sebanyak lembar pada tahap pelipatan logistik pemilu,kekurangan surat suara gubernur sebanyak lembar tahap pelipatan logistik pemilu,kurang surat suara gubernur banyak lembar tahap lipat logistik milu,kurang surat suara gubernur banyak lembar tahap lipat logistik milu
D002,Aceh,Kelebihan Surat Suara,Kelebihan surat suara gubernur sebanyak 142 lembar setelah pengepakan logistik.,kelebihan surat suara gubernur sebanyak lembar setelah pengepakan logistik,kelebihan surat suara gubernur sebanyak lembar setelah pengepakan logistik,kelebihan surat suara gubernur sebanyak lembar setelah pengepakan logistik,kelebihan surat suara gubernur sebanyak lembar pengepakan logistik,lebih surat suara gubernur banyak lembar epak logistik,lebih surat suara gubernur banyak lembar epak logistik
D003,Aceh,Kekurangan Surat Suara,Kekurangan surat suara walikota sebanyak 347 lembar pada proses pelipatan.,kekurangan surat suara walikota sebanyak lembar pada proses pelipatan,kekurangan surat suara walikota sebanyak lembar pada proses pelipatan,kekurangan surat suara walikota sebanyak lembar pada proses pelipatan,kekurangan surat suara walikota sebanyak lembar proses pelipatan,kurang surat suara walikota banyak lembar proses lipat,kurang surat suara walikota banyak lembar proses lipat
D004,Aceh,Kelebihan Surat Suara,Kelebihan surat suara walikota sebanyak 368 lembar pada tahap pengepakan.,kelebihan surat suara walikota sebanyak lembar pada tahap pengepakan,kelebihan surat suara walikota sebanyak lembar pada tahap pengepakan,kelebihan surat suara walikota sebanyak lembar pada tahap pengepakan,kelebihan surat suara walikota sebanyak lembar tahap pengepakan,lebih surat suara walikota banyak lembar tahap epak,lebih surat suara walikota banyak lembar tahap epak
D005,Aceh,Kerusakan Logistik,Ditemukan 5 kotak suara dalam kondisi rusak saat penerimaan logistik.,ditemukan kotak suara dalam kondisi rusak saat penerimaan logistik,ditemukan kotak suara dalam kondisi rusak saat penerimaan logistik,ditemukan kotak suara dalam kondisi rusak saat penerimaan logistik,ditemukan kotak suara kondisi rusak penerimaan logistik,temu kotak suara kondisi rusak terima logistik,temu kotak suara kondisi rusak terima logistik
D006,Aceh,Kekurangan Perlengkapan TPS,Kekurangan tanda pengenal KPPS sebanyak 21 set.,kekurangan tanda pengenal kpps sebanyak set,kekurangan tanda pengenal kpps sebanyak set,kekurangan tanda pengenal kpps sebanyak set,kekurangan tanda pengenal kpps sebanyak set,kurang tanda kenal kpps banyak set,kurang tanda kenal kpps banyak set
D007,Aceh,Kekurangan Perlengkapan TPS,Kekurangan kantong plastik sedang sebanyak 5 buah.,kekurangan kantong plastik sedang sebanyak buah,kekurangan kantong plastik sedang sebanyak buah,kekurangan kantong plastik sedang sebanyak buah,kekurangan kantong plastik sedang sebanyak buah,kurang kantong plastik sedang banyak buah,kurang kantong plastik sedang banyak buah
D008,Aceh,Kelebihan Perlengkapan TPS,Kelebihan kabel ties sebanyak 38 buah.,kelebihan kabel ties sebanyak buah,kelebihan kabel ties sebanyak buah,kelebihan kabel ties sebanyak buah,kelebihan kabel ties sebanyak buah,lebih kabel ties banyak buah,lebih kabel ties banyak buah
D009,Aceh,Kelebihan Perlengkapan TPS,Kelebihan template tuna netra walikota sebanyak 4 buah.,kelebihan template tuna netra walikota sebanyak buah,kelebihan template tuna netra walikota sebanyak buah,kelebihan template tuna netra walikota sebanyak buah,kelebihan template tuna netra walikota sebanyak buah,lebih template tuna netra walikota banyak buah,lebih template tuna netra walikota banyak buah
